RowID,Drink ID,Drink Name,Category,Alcoholic,Glass,Instructions,Ingredients,Ingredients Measure,Ingredients_Full
11,13936,Miami Vice,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).","151 proof rum, Pina colada mix, Daiquiri mix","5 oz Bacardi, frozen, frozen","151 proof rum: 5 oz Bacardi, Pina colada mix: frozen, Daiquiri mix: frozen"
12,14029,57 Chevy with a White License Plate,Cocktail,ALCOHOLIC,HIGHBALL GLASS,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,"Creme de Cacao, Vodka","1 oz white, 1 oz","Creme de Cacao: 1 oz white, Vodka: 1 oz"
13,14107,Absolut Summertime,Cocktail,ALCOHOLIC,COLLINS GLASS,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,"Absolut Citron, Sweet and sour, Sprite, Soda water, Lemon","1 1/2 oz, 3/4 oz, 1/2 oz, 3 oz, 1 slice","Absolut Citron: 1 1/2 oz, Sweet and sour: 3/4 oz, Sprite: 1/2 oz, Soda water: 3 oz, Lemon: 1 slice"
14,14133,Cosmopolitan Martini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.","Cointreau, Vodka, Lime, Cranberry juice","1/2 oz, 1 oz, Juice of 1/2, 1 splash","Cointreau: 1/2 oz, Vodka: 1 oz, Lime: Juice of 1/2, Cranberry juice: 1 splash"
15,14272,Addison Special,Cocktail,ALCOHOLIC,OLD-FASHIONED GLASS,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,"Vodka, Grenadine, Orange juice","1 shot, 1 tblsp, Fill with","Vodka: 1 shot, Grenadine: 1 tblsp, Orange juice: Fill with"
16,14366,Lemon Drop,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Shake and strain into a chilled cocktail glass rimmed with sugar.,"Vodka, Cointreau, Lemon","1 1/2 shot, 1 1/2 shot, Juice of 1 wedge","Vodka: 1 1/2 shot, Cointreau: 1 1/2 shot, Lemon: Juice of 1 wedge"
17,14560,A.D.M. (After Dinner Mint),Cocktail,ALCOHOLIC,IRISH COFFEE CUP,shake vigorously,"White Creme de Menthe, Southern Comfort, Vodka, Hot chocolate","1/2 oz, 3/4 oz, 1/2 oz, Fill with","White Creme de Menthe: 1/2 oz, Southern Comfort: 3/4 oz, Vodka: 1/2 oz, Hot chocolate: Fill with"
18,14584,Arizona Stingers,Cocktail,ALCOHOLIC,HURRICANE GLASS,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,"Absolut Vodka, Iced tea","2 shots, 12 oz lemon","Absolut Vodka: 2 shots, Iced tea: 12 oz lemon"
19,14608,Cream Soda,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,"Spiced rum, Ginger ale",1 oz,Spiced rum: 1 oz
20,14842,Midnight Mint,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.","Baileys irish cream, White Creme de Menthe, Cream","1 oz, 3/4 oz, 3/4 oz double","Baileys irish cream: 1 oz, White Creme de Menthe: 3/4 oz, Cream: 3/4 oz double"
21,15224,Malibu Twister,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"Add rum & trister then, add cranberry jucie,stir","Malibu rum, Tropicana, Cranberry juice","2 parts, 2 parts, 1 part","Malibu rum: 2 parts, Tropicana: 2 parts, Cranberry juice: 1 part"
22,15346,155 Belmont,Cocktail,ALCOHOLIC,WHITE WINE GLASS,Blend with ice. Serve in a wine glass. Garnish with carrot.,"Dark rum, Light rum, Vodka, Orange juice","1 shot, 2 shots, 1 shot, 1 shot","Dark rum: 1 shot, Light rum: 2 shots, Vodka: 1 shot, Orange juice: 1 shot"
23,15841,Mojito Extra,Cocktail,ALCOHOLIC,COLLINS GLASS,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.","Mint, Lemon juice, Dark rum, Club soda, Angostura bitters","1/2 handful, 3 cl, 1/8 L Jamaican, 1/8 L, 8 drops","Mint: 1/2 handful, Lemon juice: 3 cl, Dark rum: 1/8 L Jamaican, Club soda: 1/8 L, Angostura bitters: 8 drops"
24,16108,9 1/2 Weeks,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,"Absolut Citron, Orange Curacao, Strawberry liqueur, Orange juice","2 oz, 1/2 oz, 1 splash, 1 oz","Absolut Citron: 2 oz, Orange Curacao: 1/2 oz, Strawberry liqueur: 1 splash, Orange juice: 1 oz"
25,16134,Absolutly Screwed Up,Cocktail,ALCOHOLIC,COLLINS GLASS,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.","Absolut Citron, Orange juice, Triple sec, Ginger ale","1 shot, 1 shot, 1 shot, Fill to top","Absolut Citron: 1 shot, Orange juice: 1 shot, Triple sec: 1 shot, Ginger ale: Fill to top"
26,16178,Jitterbug,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water","2 jiggers, 1 jigger, 3 dashes, 1 shot, Around rim put 1 pinch, 3 dashes, Fill to top with","Gin: 2 jiggers, Vodka: 1 jigger, Grenadine: 3 dashes, Lime juice: 1 shot, Sugar: Around rim put 1 pinch, Sugar syrup: 3 dashes, Soda water: Fill to top with"
27,16311,Applejack,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Add all ingredients into mixing glass, chill and strain into cocktail glass","Jack Daniels, Midori melon liqueur, Sour mix","1 oz, 1/2 oz, 2 oz","Jack Daniels: 1 oz, Midori melon liqueur: 1/2 oz, Sour mix: 2 oz"
28,16485,Flaming Lamborghini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!","Kahlua, Sambuca, Blue Curacao, Baileys irish cream","1 oz, 1 oz, 1 oz, 1 oz","Kahlua: 1 oz, Sambuca: 1 oz, Blue Curacao: 1 oz, Baileys irish cream: 1 oz"
29,16943,A Gilligan's Island,Cocktail,ALCOHOLIC,COLLINS GLASS,"Shaken, not stirred!","Vodka, Peach schnapps, Orange juice, Cranberry juice","1 oz, 1 oz, 3 oz, 3 oz","Vodka: 1 oz, Peach schnapps: 1 oz, Orange juice: 3 oz, Cranberry juice: 3 oz"
30,16987,Irish Curdling Cow,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.","Baileys irish cream, Bourbon, Vodka, Orange juice","3/4 oz, 3/4 oz, 3/4 oz, 2-3 oz","Baileys irish cream: 3/4 oz, Bourbon: 3/4 oz, Vodka: 3/4 oz, Orange juice: 2-3 oz"
31,17005,A True Amaretto Sour,Cocktail,ALCOHOLIC,OLD-FASHIONED GLASS,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.","Amaretto, Lemon, Ice, Maraschino cherry","1 jigger, Juice of 1/2","Amaretto: 1 jigger, Lemon: Juice of 1/2"
32,17066,Army special,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.","Vodka, Gin, Lime juice cordial, Ice","30 ml, 30 ml, 45 ml, 1/2 glass crushed","Vodka: 30 ml, Gin: 30 ml, Lime juice cordial: 45 ml, Ice: 1/2 glass crushed"
33,17074,Arizona Twister,Cocktail,ALCOHOLIC,HURRICANE GLASS,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.","Vodka, Malibu rum, Gold tequila, Orange juice, Pineapple juice, Cream of coconut, Grenadine, Ice, Pineapple","1 shot, 1 shot, 1 shot, 1 splash, 1 splash, 1 splash, 1 dash, crushed, 1 wedge","Vodka: 1 shot, Malibu rum: 1 shot, Gold tequila: 1 shot, Orange juice: 1 splash, Pineapple juice: 1 splash, Cream of coconut: 1 splash, Grenadine: 1 dash, Ice: crushed, Pineapple: 1 wedge"
34,17174,Cherry Electric Lemonade,Cocktail,ALCOHOLIC,PINT GLASS,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,"Gin, Tequila, Vodka, White rum, Triple Sec, Cherry Grenadine, Sweet and sour, Club soda","1 oz, 1 oz, 1 oz, 1 oz, 1 oz, 1 oz, 1 oz, 3 oz","Gin: 1 oz, Tequila: 1 oz, Vodka: 1 oz, White rum: 1 oz, Triple Sec: 1 oz, Cherry Grenadine: 1 oz, Sweet and sour: 1 oz, Club soda: 3 oz"
35,17177,Dark Caipirinha,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Muddle the sugar into the lime wedges in an old-fashioned glass. Fill the glass with ice cubes. Pour the cachaca into the glass. Stir well.,"demerara Sugar, Lime, Cachaca","2 tsp, 1, 2 1/2 oz","demerara Sugar: 2 tsp, Lime: 1, Cachaca: 2 1/2 oz"
36,17180,Aviation,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,"Gin, lemon juice, maraschino liqueur","4.5 cl, 1.5 cl, 1.5 cl","Gin: 4.5 cl, lemon juice: 1.5 cl, maraschino liqueur: 1.5 cl"
37,17181,Dirty Martini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well. Rub the rim of a martini glass with the wedge of lemon. Strain the contents of the cocktail shaker into the glass and add the olive. A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.","Vodka, Dry Vermouth, Olive Brine, Lemon, Olive","70ml/2fl oz, 1 tbsp, 2 tbsp, 1 wedge, 1","Vodka: 70ml/2fl oz, Dry Vermouth: 1 tbsp, Olive Brine: 2 tbsp, Lemon: 1 wedge, Olive: 1"
38,17182,Duchamp's Punch,Cocktail,ALCOHOLIC,OLD-FASHIONED GLASS,Shake all ingredients. Double strain in a chilled double old fashioned glass with abig ice cube. Garnish with a couple of lavender sprigs,"Pisco, Lime Juice, Pineapple Syrup, St. Germain, Angostura Bitters, Pepper, Lavender","5 cl, 2.5 cl, 2.5 cl, 1.5 cl, 2 Dashes, Pinch, 2 sprigs","Pisco: 5 cl, Lime Juice: 2.5 cl, Pineapple Syrup: 2.5 cl, St. Germain: 1.5 cl, Angostura Bitters: 2 Dashes, Pepper: Pinch, Lavender: 2 sprigs"
39,17188,Mary Pickford,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Shake and strain into a chilled large cocktail glass,"Light rum, Pineapple juice, Maraschino liqueur, Grenadine, Maraschino cherry","1 1/2 oz, 1 oz, 1/2 tsp, 1/2 tsp, 1","Light rum: 1 1/2 oz, Pineapple juice: 1 oz, Maraschino liqueur: 1/2 tsp, Grenadine: 1/2 tsp, Maraschino cherry: 1"
40,17196,Cosmopolitan,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,"Vodka, Lime juice, Cointreau, Cranberry juice","1 1/4 oz, 1/4 oz, 1/4 oz, 1/4 cup","Vodka: 1 1/4 oz, Lime juice: 1/4 oz, Cointreau: 1/4 oz, Cranberry juice: 1/4 cup"
41,17212,Espresso Martini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass","Vodka, Kahlua, Sugar syrup","5 cl, 1 cl, 1 dash","Vodka: 5 cl, Kahlua: 1 cl, Sugar syrup: 1 dash"
42,17213,French Martini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,"Vodka, Raspberry Liqueur, pineapple juice","4.5 cl, 1.5 cl, 1.5 cl","Vodka: 4.5 cl, Raspberry Liqueur: 1.5 cl, pineapple juice: 1.5 cl"
43,17222,A1,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","Gin, Grand Marnier, Lemon Juice, Grenadine","1 3/4 shot, 1 Shot, 1/4 Shot, 1/8 Shot","Gin: 1 3/4 shot, Grand Marnier: 1 Shot, Lemon Juice: 1/4 Shot, Grenadine: 1/8 Shot"
44,17223,Abbey Martini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.","Gin, Sweet Vermouth, Orange Juice, Angostura Bitters","2 shots, 1 shot, 1 shot, 3 dashes","Gin: 2 shots, Sweet Vermouth: 1 shot, Orange Juice: 1 shot, Angostura Bitters: 3 dashes"
45,17224,Absolutely Fabulous,Cocktail,ALCOHOLIC,CHAMPAGNE FLUTE,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,"Vodka, Cranberry Juice, Champagne","1 shot, 2 shots, Top up with","Vodka: 1 shot, Cranberry Juice: 2 shots, Champagne: Top up with"
46,17225,Ace,Cocktail,ALCOHOLIC,MARTINI GLASS,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,"Gin, Grenadine, Heavy cream, Milk, Egg White","2 shots, 1/2 shot, 1/2 shot, 1/2 shot, 1/2 Fresh","Gin: 2 shots, Grenadine: 1/2 shot, Heavy cream: 1/2 shot, Milk: 1/2 shot, Egg White: 1/2 Fresh"
47,17226,Adam & Eve,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Shake together all the ingredients and strain into a cold glass.,"Gin, Cognac, Creme de Cassis, Fresh Lemon Juice","1 shot, 1 shot, 1 shot, 1/8 shot","Gin: 1 shot, Cognac: 1 shot, Creme de Cassis: 1 shot, Fresh Lemon Juice: 1/8 shot"
48,17227,Addington,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water.,"Sweet Vermouth, Dry Vermouth, Soda Water","2 shots, 1 shot, Top up with","Sweet Vermouth: 2 shots, Dry Vermouth: 1 shot, Soda Water: Top up with"
49,17228,Addison,Cocktail,ALCOHOLIC,MARTINI GLASS,Shake together all the ingredients and strain into a cold glass.,"Gin, Vermouth","1 1/2 shot, 1 1/2 shot","Gin: 1 1/2 shot, Vermouth: 1 1/2 shot"
50,17229,Adios Amigos Cocktail,Cocktail,ALCOHOLIC,MARTINI GLASS,Shake together all the ingredients and strain into a cold glass.,"Rum, Dry Vermouth, Cognac, Gin, Fresh Lime Juice, Sugar Syrup, Water","1 shot, 1/2 shot, 1/2 shot, 1/2 shot, 1/4 shot, 1/4 shot, 1/2 shot","Rum: 1 shot, Dry Vermouth: 1/2 shot, Cognac: 1/2 shot, Gin: 1/2 shot, Fresh Lime Juice: 1/4 shot, Sugar Syrup: 1/4 shot, Water: 1/2 shot"
51,17230,Gin Rickey,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,"Gin, Grenadine, lemon, Soda Water, Lime","2 oz, 1 tsp, Juice of 1/2, Top up with, Garnish","Gin: 2 oz, Grenadine: 1 tsp, lemon: Juice of 1/2, Soda Water: Top up with, Lime: Garnish"
52,17239,Hunter's Moon,Cocktail,ALCOHOLIC,BALLOON GLASS,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.","Vermouth, Maraschino Cherry, Sugar Syrup, Lemonade, Blackberries","25 ml, 15 ml, 10 ml, 100 ml, 2","Vermouth: 25 ml, Maraschino Cherry: 15 ml, Sugar Syrup: 10 ml, Lemonade: 100 ml, Blackberries: 2"
53,17242,Bombay Cassis,Cocktail,ALCOHOLIC,BALLOON GLASS,"Add the Bombay Sapphire, Crème de Cassis and lime juice to a balloon glass and swirl well to mix. Fill the glass with good quality cubed ice. Top up with chilled and freshly opened Fever-Tree Ginger Beer. Gently stir to combine, top with a gently squeezed lime wedge and finish with a fresh ginger slice.","Gin, Creme de Cassis, Fresh Lime Juice, Ginger beer, Lime, Ginger","50 ml, 20 ml, 15 ml, 75 ml, 1, 1 long strip","Gin: 50 ml, Creme de Cassis: 20 ml, Fresh Lime Juice: 15 ml, Ginger beer: 75 ml, Lime: 1, Ginger: 1 long strip"
54,17246,Empellón Cocina's Fat-Washed Mezcal,Cocktail,ALCOHOLIC,BEER GLASS,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs): 4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin. Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth. Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion. If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade. Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it. The mezcal is now ready for drinking, straight-up or in a cocktail. Habanero tincture Slice habaneros and add 2 ounces Ilegal Joven mezcal. Allow to sit overnight or until desired level of heat is achieved. Cocktail Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds. Strain into chilled coupe. Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon. Garnish with 5 drops habanero tincture.","Mezcal, Chocolate liqueur, Coffee liqueur","2 oz, 3/4 oz, 1/2 oz","Mezcal: 2 oz, Chocolate liqueur: 3/4 oz, Coffee liqueur: 1/2 oz"
55,17248,French Negroni,Cocktail,ALCOHOLIC,MARTINI GLASS,"Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.","Gin, Lillet, Sweet Vermouth, Orange Peel","1 oz, 1 oz, 1 oz, 1","Gin: 1 oz, Lillet: 1 oz, Sweet Vermouth: 1 oz, Orange Peel: 1"
56,17250,Corpse Reviver,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Shake, strain, straight up, cocktail glass rinsed with absinthe","Gin, Triple Sec, Lillet Blanc, Lemon Juice, Absinthe","3/4 oz, 3/4 oz, 3/4 oz, 3/4 oz, 1 dash","Gin: 3/4 oz, Triple Sec: 3/4 oz, Lillet Blanc: 3/4 oz, Lemon Juice: 3/4 oz, Absinthe: 1 dash"
57,17251,Boulevardier,Cocktail,ALCOHOLIC,MARTINI GLASS,"Stir with ice, strain, garnish and serve.","Campari, Sweet Vermouth, Rye whiskey, Orange Peel","1 oz, 1 oz, 1 1/4 oz, 1","Campari: 1 oz, Sweet Vermouth: 1 oz, Rye whiskey: 1 1/4 oz, Orange Peel: 1"
58,17252,Greyhound,Cocktail,ALCOHOLIC,COLLINS GLASS,Add the vodka to a Collins glass filled with ice. Top with grapefruit juice and stir.,"Vodka, Grapefruit Juice","1 1/2 oz, 3 oz","Vodka: 1 1/2 oz, Grapefruit Juice: 3 oz"
59,17254,Bijou,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Stir in mixing glass with ice and strain,"Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth","1 dash, 1 oz, 1 oz, 1 oz","Orange Bitters: 1 dash, Green Chartreuse: 1 oz, Gin: 1 oz, Sweet Vermouth: 1 oz"
60,17255,Gimlet,Cocktail,ALCOHOLIC,MARTINI GLASS,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice. Garnish with a lime wheel.","Gin, Lime Juice, Sugar Syrup, Lime","2 1/2 oz, 1/2 oz, 1/2 oz, 1","Gin: 2 1/2 oz, Lime Juice: 1/2 oz, Sugar Syrup: 1/2 oz, Lime: 1"
61,17256,Martinez 2,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Add all ingredients to a mixing glass and fill with ice. Stir until chilled, and strain into a chilled coupe glass.","Gin, Sweet Vermouth, Maraschino Liqueur, Angostura Bitters","1 1/2 oz, 1 1/2 oz, 1 tsp, 2 dashes","Gin: 1 1/2 oz, Sweet Vermouth: 1 1/2 oz, Maraschino Liqueur: 1 tsp, Angostura Bitters: 2 dashes"
62,17267,Bahama Mama,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Add 2 parts club soda or more or less to taste. Mix it all together and pour over a bunch of ice. Drink with a straw.,"Rum, Dark Rum, Banana liqueur, Grenadine, Pineapple Juice, Orange Juice, Sweet and Sour","3 parts, 1 part, 1 part, 1 part, 2 parts, 2 parts, 1 part","Rum: 3 parts, Dark Rum: 1 part, Banana liqueur: 1 part, Grenadine: 1 part, Pineapple Juice: 2 parts, Orange Juice: 2 parts, Sweet and Sour: 1 part"
63,17268,Blue Hurricane,Cocktail,ALCOHOLIC,HIGHBALL GLASS,If each part is 1/2 oz then use about 2.5 cups of ice. Blend it all together. Drink it with a big straw if you have one.,"Rum, Dark Rum, Passoa, Blue Curacao, Sweet and Sour, Ice","4 parts, 2 parts, 1 part, 1 part, 6 parts, cubes","Rum: 4 parts, Dark Rum: 2 parts, Passoa: 1 part, Blue Curacao: 1 part, Sweet and Sour: 6 parts, Ice: cubes"
64,17825,Brigadier,Cocktail,ALCOHOLIC,COUPE GLASS,Mix ingredients in a warmed mug and stir.,"Hot Chocolate, Green Chartreuse, Cherry Heering","4 oz, 1 oz, 1 oz","Hot Chocolate: 4 oz, Green Chartreuse: 1 oz, Cherry Heering: 1 oz"
